device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity
589671718,6514471002427,"(0.35259130597114563, 0.23312178254127502)","(-56.88743591308594, 223.0169219970703, 70.52974700927734)",1,2.045196533203125,1,"(-79.88176727294922, 5.449551582336426, 599.2423095703125)","(0.6819795370101929, 0.48186594247817993, 0.3513529896736145)",1,"(0.33626818656921387, 0.2396080493927002)","(-65.54109954833984, 221.1992950439453, 69.8681869506836)",1,2.0925445556640625,1,"(-16.992006301879883, 9.378059387207031, 600.7794189453125)","(0.5396079421043396, 0.4722976088523865, 0.34407269954681396)",1
589680051,6514471010760,"(0.3520788848400116, 0.22794680297374725)","(-57.159061431884766, 224.4670867919922, 71.05753326416016)",1,2.0385284423828125,1,"(-79.87654113769531, 5.45461893081665, 599.2645263671875)","(0.6819601655006409, 0.4818557798862457, 0.351399689912796)",1,"(0.3368038833141327, 0.24061673879623413)","(-65.25709533691406, 220.9166717529297, 69.76528930664062)",1,2.0902252197265625,1,"(-16.98274803161621, 9.38591480255127, 600.7398681640625)","(0.5395900011062622, 0.4722770154476166, 0.343986839056015)",1
589688385,6514471019094,"(0.3526744544506073, 0.2286023646593094)","(-56.843345642089844, 224.28335571289062, 70.9906997680664)",1,2.0409088134765625,1,"(-79.86235046386719, 5.457972526550293, 599.22705078125)","(0.6819410920143127, 0.4818459153175354, 0.3513151705265045)",1,"(0.34025007486343384, 0.24051177501678467)","(-63.430091857910156, 220.946044921875, 69.77600860595703)",1,2.08740234375,1,"(-16.97338104248047, 9.391447067260742, 600.740478515625)","(0.5395688414573669, 0.47226452827453613, 0.34398791193962097)",1
589696721,6514471027430,"(0.3506017327308655, 0.23588016629219055)","(-57.94218063354492, 222.2439727783203, 70.24840545654297)",1,2.0393829345703125,1,"(-79.84675598144531, 5.460641860961914, 599.169189453125)","(0.6819258332252502, 0.4818364083766937, 0.35118621587753296)",1,"(0.33975571393966675, 0.2399638146162033)","(-63.692203521728516, 221.09959411621094, 69.83189392089844)",1,2.089569091796875,1,"(-16.962703704833984, 9.394259452819824, 600.7110595703125)","(0.5395468473434448, 0.4722559452056885, 0.34392353892326355)",1
589705054,6514471035763,"(0.3544580638408661, 0.22700461745262146)","(-55.89774703979492, 224.73109436035156, 71.1536636352539)",1,2.043212890625,1,"(-79.83251953125, 5.46427059173584, 599.13134765625)","(0.6819067597389221, 0.48182591795921326, 0.35110074281692505)",1,"(0.34047529101371765, 0.23738400638103485)","(-63.31071472167969, 221.82254028320312, 70.09503936767578)",1,2.0889129638671875,1,"(-16.95621681213379, 9.391000747680664, 600.7313232421875)","(0.5395306944847107, 0.47226467728614807, 0.34396693110466003)",1
589713387,6514471044096,"(0.3512572646141052, 0.22875553369522095)","(-57.59465408325195, 224.24046325683594, 70.97508239746094)",1,2.0513763427734375,1,"(-79.81951904296875, 5.464593887329102, 599.09375)","(0.6818903684616089, 0.48182281851768494, 0.351016104221344)",1,"(0.3399316966533661, 0.2339749038219452)","(-63.59891128540039, 222.77786254882812, 70.44274139404297)",1,2.1026458740234375,1,"(-16.948219299316406, 9.384592056274414, 600.7218017578125)","(0.539513111114502, 0.4722782075405121, 0.3439454436302185)",1
589721721,6514471052430,"(0.35198503732681274, 0.231844961643219)","(-57.20882797241211, 223.3747100830078, 70.65996551513672)",1,2.0459136962890625,1,"(-79.81428527832031, 5.466468811035156, 599.115966796875)","(0.6818709969520569, 0.4818198084831238, 0.351062536239624)",1,"(0.34229573607444763, 0.23785699903964996)","(-62.3455924987793, 221.6899871826172, 70.0467758178711)",1,2.0919342041015625,1,"(-16.941516876220703, 9.379046440124512, 600.7120361328125)","(0.5394986271858215, 0.4722898006439209, 0.34392330050468445)",1
589730054,6514471060763,"(0.3522947430610657, 0.22890785336494446)","(-57.044620513916016, 224.19776916503906, 70.95948791503906)",1,2.034393310546875,1,"(-79.80381774902344, 5.463832378387451, 599.09814453125)","(0.6818534731864929, 0.4818246364593506, 0.35102102160453796)",1,"(0.34202295541763306, 0.23439444601535797)","(-62.49022674560547, 222.66030883789062, 70.39994049072266)",1,2.1027069091796875,1,"(-16.933916091918945, 9.369691848754883, 600.6524658203125)","(0.5394856929779053, 0.4723062813282013, 0.3437928557395935)",1
589738387,6514471069096,"(0.3529573678970337, 0.23042720556259155)","(-56.6933479309082, 223.77200317382812, 70.80457305908203)",1,2.047332763671875,1,"(-79.79452514648438, 5.463076591491699, 599.0799560546875)","(0.6818388104438782, 0.48182517290115356, 0.350979208946228)",1,"(0.3403434455394745, 0.23992028832435608)","(-63.38063049316406, 221.11181640625, 69.83635711669922)",1,2.0997467041015625,1,"(-16.929882049560547, 9.36208724975586, 600.6329345703125)","(0.5394778847694397, 0.47232183814048767, 0.34374961256980896)",1
589746721,6514471077430,"(0.3535197079181671, 0.23216736316680908)","(-56.39521789550781, 223.2843780517578, 70.62709045410156)",1,2.040069580078125,1,"(-79.78742980957031, 5.460851669311523, 599.0612182617188)","(0.6818292140960693, 0.4818289279937744, 0.35093677043914795)",1,"(0.34098079800605774, 0.2346447855234146)","(-63.042720794677734, 222.59014892578125, 70.37439727783203)",1,2.0982513427734375,1,"(-16.926509857177734, 9.356274604797363, 600.5927734375)","(0.5394731163978577, 0.4723319113254547, 0.34366175532341003)",1
